date,DAviationCO2 per day,GtransportCO2 per day
13/06/2020,0.257086,4.1715
14/06/2020,0.258846,4.18458
15/06/2020,0.260109,4.18481
16/06/2020,0.260917,4.16415
17/06/2020,0.26249,4.13401
18/06/2020,0.262776,4.10761
19/06/2020,0.264002,4.10929
20/06/2020,0.265185,4.11963
21/06/2020,0.266967,4.0892
22/06/2020,0.268123,4.08371
23/06/2020,0.270192,4.09395
24/06/2020,0.271589,4.10789
25/06/2020,0.272748,4.14138
26/06/2020,0.273035,4.13885
27/06/2020,0.273197,4.12816
28/06/2020,0.275724,4.16332
29/06/2020,0.281004,4.22269
30/06/2020,0.283677,4.24039
01/07/2020,0.277256,4.21335
02/07/2020,0.278151,4.22495
03/07/2020,0.283869,4.23121
04/07/2020,0.290728,4.23789
05/07/2020,0.295053,4.23354
06/07/2020,0.297317,4.18599
07/07/2020,0.30139,4.17699
08/07/2020,0.315689,4.20564
09/07/2020,0.32367,4.18968
10/07/2020,0.326271,4.19511
11/07/2020,0.326622,4.17733
12/07/2020,0.327992,4.14822
13/07/2020,0.328696,4.11963
14/07/2020,0.330024,4.08626
15/07/2020,0.330969,4.07123
16/07/2020,0.33023,4.05095
17/07/2020,0.329876,4.02091
18/07/2020,0.328931,4.02748
19/07/2020,0.326837,4.03469
20/07/2020,0.325627,4.03781
21/07/2020,0.324641,4.06836
22/07/2020,0.323976,4.07228
23/07/2020,0.323763,4.15062
24/07/2020,0.3227,4.21266
25/07/2020,0.322593,4.26611
26/07/2020,0.315257,4.30904
27/07/2020,0.311865,4.37499
28/07/2020,0.310154,4.40891
29/07/2020,0.309793,4.42122
30/07/2020,0.309174,4.37706
31/07/2020,0.310376,4.33627
01/08/2020,0.309893,4.25457
02/08/2020,0.317066,4.19256
03/08/2020,0.320418,4.11939
04/08/2020,0.322387,4.0518
05/08/2020,0.322667,4.02352
06/08/2020,0.324118,4.04272
07/08/2020,0.323731,4.06237
08/08/2020,0.325669,4.10832
09/08/2020,0.325919,4.15118
10/08/2020,0.326324,4.20408
11/08/2020,0.326903,4.28903
12/08/2020,0.326609,4.36066
13/08/2020,0.32674,4.42467
14/08/2020,0.327648,4.48634
15/08/2020,0.327016,4.54983
16/08/2020,0.326403,4.60814
17/08/2020,0.32613,4.64768
18/08/2020,0.324911,4.66775
19/08/2020,0.324116,4.69167
20/08/2020,0.323519,4.58334
21/08/2020,0.322912,4.46891
22/08/2020,0.322538,4.37058
23/08/2020,0.321182,4.26582
24/08/2020,0.320036,4.16017
25/08/2020,0.319462,4.06838
26/08/2020,0.318643,3.98452
27/08/2020,0.317074,4.00201
28/08/2020,0.315787,4.0309
29/08/2020,0.315206,4.06481
30/08/2020,0.316357,4.10792
31/08/2020,0.317978,4.18436
01/09/2020,0.320663,4.26076
02/09/2020,0.319992,4.32602
03/09/2020,0.314292,4.3412
04/09/2020,0.313884,4.36708
05/09/2020,0.308602,4.3905
06/09/2020,0.304973,4.41478
07/09/2020,0.302045,4.39077
08/09/2020,0.297683,4.37374
09/09/2020,0.295371,4.34075
10/09/2020,0.29942,4.33108
11/09/2020,0.298647,4.34031
12/09/2020,0.301312,4.3432
13/09/2020,0.302771,4.34762
14/09/2020,0.302009,4.37297
15/09/2020,0.302741,4.39242
16/09/2020,0.303127,4.44244
17/09/2020,0.304041,4.42911
18/09/2020,0.304015,4.35383
19/09/2020,0.304294,4.28722
20/09/2020,0.304699,4.22653
21/09/2020,0.306954,4.1684
22/09/2020,0.307278,4.10993
23/09/2020,0.307514,4.04659
24/09/2020,0.307366,4.04825
25/09/2020,0.299289,4.06602
26/09/2020,0.293023,4.083
27/09/2020,0.29322,4.10097
28/09/2020,0.29287,4.14181
29/09/2020,0.293492,4.13821
30/09/2020,0.294017,4.1516
01/10/2020,0.295307,4.16584
02/10/2020,0.304132,4.19742
03/10/2020,0.310817,4.2319
04/10/2020,0.31027,4.27002
05/10/2020,0.311728,4.25625
06/10/2020,0.313213,4.28166
07/10/2020,0.313966,4.28769
08/10/2020,0.314191,4.29744
09/10/2020,0.316713,4.32338
10/10/2020,0.319237,4.33218
11/10/2020,0.320587,4.33063
12/10/2020,0.322513,4.33465
13/10/2020,0.32347,4.34538
14/10/2020,0.325224,4.3559
15/10/2020,0.327413,4.35593
16/10/2020,0.328762,4.3553
17/10/2020,0.32791,4.34321
18/10/2020,0.328243,4.32757
19/10/2020,0.326748,4.34045
20/10/2020,0.325264,4.35753
21/10/2020,0.324773,4.35687
22/10/2020,0.322092,4.34414
23/10/2020,0.318514,4.30705
24/10/2020,0.317712,4.29499
25/10/2020,0.316229,4.28322
26/10/2020,0.31365,4.26432
27/10/2020,0.312899,4.23518
28/10/2020,0.308134,4.22823
29/10/2020,0.302918,4.26148
30/10/2020,0.304312,4.24303
31/10/2020,0.304119,4.16724
01/11/2020,0.304454,4.08554
02/11/2020,0.307659,4.04863
03/11/2020,0.31052,4.04569
04/11/2020,0.315944,4.07924
05/11/2020,0.322676,4.01438
06/11/2020,0.325198,4.03843
07/11/2020,0.326674,4.11103
08/11/2020,0.327836,4.18208
09/11/2020,0.32766,4.18923
10/11/2020,0.328599,4.14901
11/11/2020,0.330246,4.06873
12/11/2020,0.331304,4.11131
13/11/2020,0.332834,4.09266
14/11/2020,0.33413,4.06072
15/11/2020,0.335623,4.04947
16/11/2020,0.338455,4.05526
17/11/2020,0.342514,4.06744
18/11/2020,0.352365,4.12123
19/11/2020,0.35921,4.06883
20/11/2020,0.361045,4.09703
21/11/2020,0.37106,4.14742
22/11/2020,0.382849,4.17754
23/11/2020,0.369497,4.1201
24/11/2020,0.347739,4.08761
25/11/2020,0.342371,4.03775
26/11/2020,0.347783,4.05953
27/11/2020,0.353458,4.06158
28/11/2020,0.351783,4.03831
29/11/2020,0.343736,4.02417
30/11/2020,0.355259,4.09161
01/12/2020,0.371775,4.12029
02/12/2020,0.365646,4.1182
03/12/2020,0.352059,4.08125
04/12/2020,0.342044,4.05108
05/12/2020,0.333395,4.03891
06/12/2020,0.329976,4.01997
07/12/2020,0.330446,3.99301
08/12/2020,0.330864,3.96507
09/12/2020,0.33067,3.94302
10/12/2020,0.329796,3.92765
11/12/2020,0.330716,3.92822
12/12/2020,0.332296,3.9337
13/12/2020,0.332813,3.92978
14/12/2020,0.332461,3.93674
15/12/2020,0.342603,3.98647
16/12/2020,0.359987,4.03219
17/12/2020,0.37542,4.02228
18/12/2020,0.384093,4.06662
19/12/2020,0.396242,4.19983
20/12/2020,0.409615,4.33885
21/12/2020,0.409809,4.33198
22/12/2020,0.379994,4.09129
23/12/2020,0.364226,4.06177
24/12/2020,0.362879,4.14635
25/12/2020,0.361258,4.10219
26/12/2020,0.358281,3.95614
27/12/2020,0.354002,3.82926
28/12/2020,0.353624,3.78825
29/12/2020,0.35564,3.90045
30/12/2020,0.355988,3.98429
31/12/2020,0.35407,3.98417
01/01/2021,0.352758,3.96383
02/01/2021,0.345409,3.93528
03/01/2021,0.333432,3.91417
04/01/2021,0.3293,3.94939
05/01/2021,0.342591,4.04928
06/01/2021,0.339479,4.01493
07/01/2021,0.325873,3.91742
08/01/2021,0.316666,3.86706
09/01/2021,0.309875,3.83453
10/01/2021,0.307171,3.78714
11/01/2021,0.308013,3.74121
12/01/2021,0.309111,3.74235
13/01/2021,0.30863,3.75823
14/01/2021,0.307616,3.86423
15/01/2021,0.307362,4.02861
16/01/2021,0.308006,4.01508
17/01/2021,0.307711,3.99961
18/01/2021,0.306507,4.03093
19/01/2021,0.305799,4.03729
20/01/2021,0.305199,4.02145
21/01/2021,0.305063,3.99594
22/01/2021,0.304315,3.83323
23/01/2021,0.302335,3.86275
24/01/2021,0.303013,3.87921
25/01/2021,0.302967,3.85516
26/01/2021,0.303715,3.83207
27/01/2021,0.303824,3.82002
28/01/2021,0.303476,3.83007
29/01/2021,0.30239,3.86637
30/01/2021,0.302155,3.84732
31/01/2021,0.304289,3.82932
01/02/2021,0.306386,3.81744
02/02/2021,0.307755,3.81179
03/02/2021,0.310118,3.79298
04/02/2021,0.311407,3.7712
05/02/2021,0.315693,3.86128
06/02/2021,0.319659,3.89669
07/02/2021,0.320979,3.94879
08/02/2021,0.32166,3.999
09/02/2021,0.325775,4.0239
10/02/2021,0.329121,3.96627
11/02/2021,0.3273,3.96338
12/02/2021,0.32148,3.88826
13/02/2021,0.314388,3.86566
14/02/2021,0.308606,3.83104
15/02/2021,0.301511,3.80572
16/02/2021,0.295769,3.79274
17/02/2021,0.296726,3.83585
18/02/2021,0.30559,3.91112
19/02/2021,0.314968,3.95324
20/02/2021,0.325951,4.04249
21/02/2021,0.334303,4.11322
22/02/2021,0.344839,4.1682
23/02/2021,0.351115,4.2257
24/02/2021,0.350447,4.26985
25/02/2021,0.349721,4.26251
26/02/2021,0.351823,4.28206
27/02/2021,0.353302,4.24841
28/02/2021,0.355171,4.23292
01/03/2021,0.358243,4.22639
02/03/2021,0.363107,4.21427
03/03/2021,0.36856,4.19024
04/03/2021,0.373764,4.20333
05/03/2021,0.378758,4.17021
06/03/2021,0.382469,4.19333
07/03/2021,0.38585,4.1831
08/03/2021,0.388958,4.18571
09/03/2021,0.393003,4.19239
10/03/2021,0.397931,4.20891
11/03/2021,0.401164,4.23461
12/03/2021,0.399337,4.25783
13/03/2021,0.40239,4.27633
14/03/2021,0.404388,4.3022
15/03/2021,0.405726,4.31865
16/03/2021,0.406891,4.33432
17/03/2021,0.40944,4.33857
18/03/2021,0.412802,4.3245
19/03/2021,0.416719,4.35616
20/03/2021,0.417075,4.37357
21/03/2021,0.420028,4.40709
22/03/2021,0.421511,4.41975
23/03/2021,0.421826,4.43117
24/03/2021,0.421355,4.45253
25/03/2021,0.419491,4.49025
26/03/2021,0.419495,4.48182
27/03/2021,0.420483,4.45005
28/03/2021,0.420272,4.46167
29/03/2021,0.423696,4.4785
30/03/2021,0.424903,4.49539
31/03/2021,0.425564,4.49232
01/04/2021,0.424912,4.45367
02/04/2021,0.430337,4.4852
03/04/2021,0.433719,4.45715
04/04/2021,0.435121,4.46642
05/04/2021,0.433802,4.47176
06/04/2021,0.432871,4.48244
07/04/2021,0.43122,4.54037
08/04/2021,0.429375,4.54516
09/04/2021,0.428038,4.51124
10/04/2021,0.42604,4.54555
11/04/2021,0.423803,4.51816
12/04/2021,0.421704,4.50521
13/04/2021,0.419773,4.51282
14/04/2021,0.416716,4.49978
15/04/2021,0.418692,4.51429
16/04/2021,0.414348,4.52562
17/04/2021,0.411679,4.52578
18/04/2021,0.410648,4.50691
19/04/2021,0.411201,4.48562
20/04/2021,0.411352,4.43596
21/04/2021,0.409953,4.39586
22/04/2021,0.410323,4.35654
23/04/2021,0.411303,4.31718
24/04/2021,0.412986,4.30098
25/04/2021,0.413434,4.30066
26/04/2021,0.41449,4.29854
27/04/2021,0.415997,4.30135
28/04/2021,0.417172,4.32438
29/04/2021,0.4164,4.33939
30/04/2021,0.414935,4.33087
01/05/2021,0.412064,4.3402
02/05/2021,0.412482,4.36801
03/05/2021,0.411965,4.38652
04/05/2021,0.413345,4.40908
05/05/2021,0.416138,4.41343
06/05/2021,0.415704,4.41696
07/05/2021,0.419342,4.43926
08/05/2021,0.423281,4.45068
09/05/2021,0.427237,4.4423
10/05/2021,0.430363,4.43861
11/05/2021,0.431459,4.44216
12/05/2021,0.431502,4.44789
13/05/2021,0.434123,4.44889
14/05/2021,0.434617,4.45128
15/05/2021,0.436548,4.41146
16/05/2021,0.437452,4.41873
17/05/2021,0.43727,4.43526
18/05/2021,0.436736,4.43606
19/05/2021,0.436484,4.43659
20/05/2021,0.437297,4.37233
21/05/2021,0.437205,4.38691
22/05/2021,0.438501,4.44691
23/05/2021,0.439526,4.43212
24/05/2021,0.441418,4.4621
25/05/2021,0.442644,4.47135
26/05/2021,0.443668,4.45268
27/05/2021,0.437598,4.49712
28/05/2021,0.435827,4.51419
29/05/2021,0.433298,4.52425
30/05/2021,0.432964,4.51933
31/05/2021,0.430858,4.49134
01/06/2021,0.432908,4.49937
02/06/2021,0.437025,4.53367
03/06/2021,0.446456,4.55829
04/06/2021,0.451731,4.54642
05/06/2021,0.45807,4.55088
06/06/2021,0.462126,4.58575
07/06/2021,0.467614,4.57112
08/06/2021,0.469665,4.57713
09/06/2021,0.47082,4.57705
10/06/2021,0.472429,4.59482
11/06/2021,0.474043,4.5858
12/06/2021,0.474537,4.58502
13/06/2021,0.475975,4.58585
14/06/2021,0.477123,4.59553
15/06/2021,0.476766,4.59958
16/06/2021,0.476843,4.60716
17/06/2021,0.475754,4.60292
18/06/2021,0.475465,4.62197
19/06/2021,0.476751,4.5932
20/06/2021,0.478484,4.57847
21/06/2021,0.477487,4.59536
22/06/2021,0.478212,4.59237
23/06/2021,0.477767,4.58924
24/06/2021,0.479901,4.56375
25/06/2021,0.480049,4.54124
26/06/2021,0.479242,4.57409
27/06/2021,0.477368,4.63389
28/06/2021,0.479476,4.62452
29/06/2021,0.47931,4.60052
30/06/2021,0.479389,4.66469
01/07/2021,0.470459,4.70004
02/07/2021,0.464495,4.76245
03/07/2021,0.46073,4.70074
04/07/2021,0.458444,4.65656
05/07/2021,0.456221,4.65773
06/07/2021,0.455754,4.69779
07/07/2021,0.458294,4.64772
08/07/2021,0.468115,4.61622
09/07/2021,0.475235,4.54497
10/07/2021,0.481099,4.58745
11/07/2021,0.485731,4.55224
12/07/2021,0.488702,4.51086
13/07/2021,0.489473,4.4717
14/07/2021,0.488496,4.43514
15/07/2021,0.488961,4.43133
16/07/2021,0.48853,4.42424
17/07/2021,0.489533,4.44099
18/07/2021,0.48807,4.46003
19/07/2021,0.48855,4.4013
20/07/2021,0.48964,4.39429
21/07/2021,0.491012,4.38802
22/07/2021,0.491264,4.3858
23/07/2021,0.492038,4.386
24/07/2021,0.490791,4.34581
25/07/2021,0.492911,4.30669
26/07/2021,0.491539,4.37092
27/07/2021,0.491598,4.36659
28/07/2021,0.491395,4.3617
29/07/2021,0.489669,4.38624
30/07/2021,0.487587,4.41231
31/07/2021,0.484785,4.43349
01/08/2021,0.481786,4.50743
02/08/2021,0.48024,4.49374
03/08/2021,0.478533,4.52591
04/08/2021,0.475906,4.55252
05/08/2021,0.477053,4.54222
06/08/2021,0.478793,4.53415
07/08/2021,0.48056,4.55226
08/08/2021,0.48082,4.52105
09/08/2021,0.481302,4.53392
10/08/2021,0.48166,4.52692
11/08/2021,0.481435,4.52434
12/08/2021,0.480471,4.53616
13/08/2021,0.480981,4.5369
14/08/2021,0.479331,4.50284
15/08/2021,0.47707,4.49368
16/08/2021,0.476612,4.51618
17/08/2021,0.476405,4.51347
18/08/2021,0.475815,4.51024
19/08/2021,0.472522,4.494
20/08/2021,0.470349,4.48623
21/08/2021,0.471046,4.54123
22/08/2021,0.471428,4.56393
23/08/2021,0.471187,4.51885
24/08/2021,0.47047,4.52973
25/08/2021,0.470843,4.54083
26/08/2021,0.470643,4.56394
27/08/2021,0.469898,4.58499
28/08/2021,0.468127,4.57083
29/08/2021,0.467848,4.57024
30/08/2021,0.467321,4.59601
31/08/2021,0.46995,4.52233
01/09/2021,0.470788,4.55221
02/09/2021,0.466207,4.57064
03/09/2021,0.465093,4.53931
04/09/2021,0.462875,4.51106
