COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2015,POPESTIMATE2019
17,Nebraska,Brown County,3145,2982,2955
19,Nebraska,Buffalo County,46102,48578,49659
21,Nebraska,Burt County,6858,6538,6459
23,Nebraska,Butler County,8395,8058,8016
25,Nebraska,Cass County,25241,25421,26248
27,Nebraska,Cedar County,8852,8518,8402
29,Nebraska,Chase County,3966,3963,3924
31,Nebraska,Cherry County,5713,5824,5689
33,Nebraska,Cheyenne County,9998,10137,8910
35,Nebraska,Clay County,6542,6291,6203
37,Nebraska,Colfax County,10515,10717,10709
39,Nebraska,Cuming County,9139,9075,8846
41,Nebraska,Custer County,10939,10828,10777
43,Nebraska,Dakota County,21006,20550,20026
45,Nebraska,Dawes County,9182,8958,8589
47,Nebraska,Dawson County,24326,23892,23595
49,Nebraska,Deuel County,1941,1910,1794
51,Nebraska,Dixon County,6000,5769,5636
53,Nebraska,Dodge County,36691,36567,36565
55,Nebraska,Douglas County,517110,549029,571327
57,Nebraska,Dundy County,2008,1770,1693
59,Nebraska,Fillmore County,5890,5553,5462
61,Nebraska,Franklin County,3225,2977,2979
63,Nebraska,Frontier County,2756,2631,2627
65,Nebraska,Furnas County,4959,4831,4676
67,Nebraska,Gage County,22311,21715,21513
69,Nebraska,Garden County,2057,1916,1837
71,Nebraska,Garfield County,2049,2014,1969
73,Nebraska,Gosper County,2044,2025,1990
75,Nebraska,Grant County,614,646,623
77,Nebraska,Greeley County,2538,2435,2356
79,Nebraska,Hall County,58607,61132,61353
81,Nebraska,Hamilton County,9124,9141,9324
83,Nebraska,Harlan County,3423,3441,3380
85,Nebraska,Hayes County,967,915,922
87,Nebraska,Hitchcock County,2908,2879,2762
89,Nebraska,Holt County,10435,10263,10067
91,Nebraska,Hooker County,736,714,682
93,Nebraska,Howard County,6274,6382,6445
95,Nebraska,Jefferson County,7547,7221,7046
97,Nebraska,Johnson County,5217,5239,5071
99,Nebraska,Kearney County,6489,6558,6495
101,Nebraska,Keith County,8368,8136,8034
103,Nebraska,Keya Paha County,824,797,806
105,Nebraska,Kimball County,3821,3716,3632
107,Nebraska,Knox County,8701,8468,8332
109,Nebraska,Lancaster County,285407,306096,319090
111,Nebraska,Lincoln County,36288,35501,34914
113,Nebraska,Logan County,763,791,748
115,Nebraska,Loup County,632,606,664
117,Nebraska,McPherson County,539,489,494
119,Nebraska,Madison County,34876,34999,35099
121,Nebraska,Merrick County,7845,7805,7755
123,Nebraska,Morrill County,5042,4925,4642
125,Nebraska,Nance County,3735,3573,3519
127,Nebraska,Nemaha County,7248,7005,6972
129,Nebraska,Nuckolls County,4500,4322,4148
131,Nebraska,Otoe County,15740,15842,16012
133,Nebraska,Pawnee County,2773,2691,2613
135,Nebraska,Perkins County,2970,2932,2891
137,Nebraska,Phelps County,9188,9217,9034
139,Nebraska,Pierce County,7266,7190,7148
141,Nebraska,Platte County,32237,32876,33470
143,Nebraska,Polk County,5406,5171,5213
145,Nebraska,Red Willow County,11055,10883,10724
147,Nebraska,Richardson County,8363,8025,7865
149,Nebraska,Rock County,1526,1417,1357
151,Nebraska,Saline County,14200,14196,14224
153,Nebraska,Sarpy County,158840,175173,187196
155,Nebraska,Saunders County,20780,20949,21578
157,Nebraska,Scotts Bluff County,36970,36245,35618
159,Nebraska,Seward County,16750,16994,17284
161,Nebraska,Sheridan County,5469,5216,5246
163,Nebraska,Sherman County,3152,3036,3001
165,Nebraska,Sioux County,1311,1276,1166
167,Nebraska,Stanton County,6129,5944,5920
169,Nebraska,Thayer County,5228,5129,5003
171,Nebraska,Thomas County,647,693,722
173,Nebraska,Thurston County,6940,7073,7224
175,Nebraska,Valley County,4260,4168,4158
177,Nebraska,Washington County,20234,19917,20729
179,Nebraska,Wayne County,9595,9366,9385
181,Nebraska,Webster County,3812,3592,3487
183,Nebraska,Wheeler County,818,779,783
185,Nebraska,York County,13665,13797,13679
1,Nevada,Churchill County,24877,23957,24909
3,Nevada,Clark County,1951269,2096717,2266715
5,Nevada,Douglas County,46997,47404,48905
7,Nevada,Elko County,48818,51728,52778
9,Nevada,Esmeralda County,783,830,873
11,Nevada,Eureka County,1987,2029,2029
13,Nevada,Humboldt County,16528,17017,16831
15,Nevada,Lander County,5775,5873,5532
17,Nevada,Lincoln County,5345,5136,5183
19,Nevada,Lyon County,51980,51974,57510
21,Nevada,Mineral County,4772,4420,4505
23,Nevada,Nye County,43946,42966,46523
27,Nevada,Pershing County,6753,6618,6725
29,Nevada,Storey County,4010,3876,4123
31,Nevada,Washoe County,421407,442453,471519
33,Nevada,White Pine County,10030,9873,9580
510,Nevada,Carson City,55274,54068,55916
1,New Hampshire,Belknap County,60088,60370,61303
3,New Hampshire,Carroll County,47818,47399,48910
5,New Hampshire,Cheshire County,77117,76288,76085
7,New Hampshire,Coos County,33055,32343,31563
9,New Hampshire,Grafton County,89118,89439,89886
11,New Hampshire,Hillsborough County,400721,408985,417025
13,New Hampshire,Merrimack County,146445,148649,151391
15,New Hampshire,Rockingham County,295223,302691,309769
17,New Hampshire,Strafford County,123143,127038,130633
19,New Hampshire,Sullivan County,43742,43148,43146
1,New Jersey,Atlantic County,274549,270153,263670
3,New Jersey,Bergen County,905116,926391,932202
5,New Jersey,Burlington County,448734,446832,445349
7,New Jersey,Camden County,513657,507638,506471
9,New Jersey,Cape May County,97265,94160,92039
11,New Jersey,Cumberland County,156898,154712,149527
13,New Jersey,Essex County,783969,790439,798975
15,New Jersey,Gloucester County,288288,290943,291636
17,New Jersey,Hudson County,634266,664492,672391
19,New Jersey,Hunterdon County,128349,125452,124371
21,New Jersey,Mercer County,366513,368124,367430
23,New Jersey,Middlesex County,809858,825546,825062
25,New Jersey,Monmouth County,630380,624079,618795
27,New Jersey,Morris County,492276,494259,491845
29,New Jersey,Ocean County,576567,587091,607186
31,New Jersey,Passaic County,501226,504629,501826
33,New Jersey,Salem County,66083,63732,62385
35,New Jersey,Somerset County,323444,329626,328934
37,New Jersey,Sussex County,149265,143004,140488
39,New Jersey,Union County,536499,549905,556341
41,New Jersey,Warren County,108692,106742,105267
1,New Mexico,Bernalillo County,662564,676248,679121
3,New Mexico,Catron County,3725,3476,3527
5,New Mexico,Chaves County,65645,65825,64615
6,New Mexico,Cibola County,27213,27044,26675
7,New Mexico,Colfax County,13750,12429,11941
9,New Mexico,Curry County,48376,50290,48954
11,New Mexico,De Baca County,2022,1873,1748
13,New Mexico,Doña Ana County,209233,214034,218195
15,New Mexico,Eddy County,53829,57715,58460
17,New Mexico,Grant County,29514,28364,26998
19,New Mexico,Guadalupe County,4687,4350,4300
21,New Mexico,Harding County,695,719,625
23,New Mexico,Hidalgo County,4894,4436,4198
25,New Mexico,Lea County,64727,71476,71070
27,New Mexico,Lincoln County,20497,19352,19572
28,New Mexico,Los Alamos County,17950,17817,19369
29,New Mexico,Luna County,25095,24367,23709
31,New Mexico,McKinley County,71492,73462,71367
33,New Mexico,Mora County,4881,4609,4521
35,New Mexico,Otero County,63797,64768,67490
37,New Mexico,Quay County,9041,8445,8253
39,New Mexico,Rio Arriba County,40246,39370,38921
41,New Mexico,Roosevelt County,19846,19137,18500
43,New Mexico,Sandoval County,131561,138521,146748
45,New Mexico,San Juan County,130044,128246,123958
47,New Mexico,San Miguel County,29393,28215,27277
49,New Mexico,Santa Fe County,144170,148098,150358
51,New Mexico,Sierra County,11988,11236,10791
53,New Mexico,Socorro County,17866,17152,16637
55,New Mexico,Taos County,32937,32797,32723
57,New Mexico,Torrance County,16383,15596,15461
59,New Mexico,Union County,4549,4163,4059
61,New Mexico,Valencia County,76569,75661,76688
1,New York,Albany County,304204,307433,305506
3,New York,Allegany County,48946,47334,46091
5,New York,Bronx County,1385108,1440005,1418207
7,New York,Broome County,200600,195928,190488
9,New York,Cattaraugus County,80317,77926,76117
11,New York,Cayuga County,80026,78298,76576
13,New York,Chautauqua County,134905,130529,126903
15,New York,Chemung County,88830,86705,83456
17,New York,Chenango County,50477,48772,47207
19,New York,Clinton County,82128,80718,80485
21,New York,Columbia County,63096,61434,59461
23,New York,Cortland County,49336,48290,47581
25,New York,Delaware County,47980,45891,44135
27,New York,Dutchess County,297488,294039,294218
29,New York,Erie County,919040,920644,918702
31,New York,Essex County,39370,37965,36885
33,New York,Franklin County,51599,50540,50022
35,New York,Fulton County,55531,53801,53383
37,New York,Genesee County,60079,58462,57280
39,New York,Greene County,49221,47616,47188
41,New York,Hamilton County,4836,4699,4416
43,New York,Herkimer County,64519,62652,61319
45,New York,Jefferson County,116229,116371,109834
47,New York,Kings County,2504700,2608794,2559903
49,New York,Lewis County,27087,26827,26296
51,New York,Livingston County,65393,64344,62914
53,New York,Madison County,73442,71636,70941
55,New York,Monroe County,744344,745577,741770
57,New York,Montgomery County,50219,49564,49221
59,New York,Nassau County,1339532,1354840,1356924
61,New York,New York County,1585873,1636063,1628706
63,New York,Niagara County,216469,212358,209281
65,New York,Oneida County,234878,231264,228671
67,New York,Onondaga County,467026,466277,460528
69,New York,Ontario County,107931,109271,109777
71,New York,Orange County,372813,375803,384940
73,New York,Orleans County,42883,41481,40352
75,New York,Oswego County,122109,119735,117124
77,New York,Otsego County,62259,60504,59493
79,New York,Putnam County,99710,99185,98320
81,New York,Queens County,2230722,2305838,2253858
83,New York,Rensselaer County,159429,159436,158714
85,New York,Richmond County,468730,472349,476143
87,New York,Rockland County,311687,322919,325789
89,New York,St. Lawrence County,111944,110348,107740
91,New York,Saratoga County,219607,226078,229863
93,New York,Schenectady County,154727,154733,155299
95,New York,Schoharie County,32749,31405,30999
97,New York,Schuyler County,18343,18027,17807
99,New York,Seneca County,35251,34801,34016
101,New York,Steuben County,98990,97551,95379
103,New York,Suffolk County,1493350,1491967,1476601
105,New York,Sullivan County,77547,74832,75432
107,New York,Tioga County,51125,49355,48203
109,New York,Tompkins County,101564,103006,102180
111,New York,Ulster County,182493,179658,177573
113,New York,Warren County,65707,64420,63944
115,New York,Washington County,63216,62246,61204
117,New York,Wayne County,93772,91291,89918
119,New York,Westchester County,949113,968773,967506
121,New York,Wyoming County,42155,40930,39859
123,New York,Yates County,25348,25128,24913
1,North Carolina,Alamance County,151131,157037,169509
3,North Carolina,Alexander County,37198,36960,37497
5,North Carolina,Alleghany County,11155,10856,11137
7,North Carolina,Anson County,26948,25602,24446
9,North Carolina,Ashe County,27281,26628,27203
11,North Carolina,Avery County,17797,17486,17557
13,North Carolina,Beaufort County,47759,47389,46994
15,North Carolina,Bertie County,21282,20162,18947
17,North Carolina,Bladen County,35190,34083,32722
19,North Carolina,Brunswick County,107431,122211,142820
21,North Carolina,Buncombe County,238318,251954,261191
23,North Carolina,Burke County,90912,89341,90485
25,North Carolina,Cabarrus County,178011,196396,216453
27,North Carolina,Caldwell County,83029,81518,82178
29,North Carolina,Camden County,9980,10282,10867
31,North Carolina,Carteret County,66469,68712,69473
33,North Carolina,Caswell County,23719,22813,22604
35,North Carolina,Catawba County,154358,155527,159551
37,North Carolina,Chatham County,63505,68263,74470
39,North Carolina,Cherokee County,27444,27102,28612
41,North Carolina,Chowan County,14793,14248,13943
43,North Carolina,Clay County,10587,10623,11231
45,North Carolina,Cleveland County,98078,96850,97947
47,North Carolina,Columbus County,58098,56675,55508
49,North Carolina,Craven County,103505,102853,102139
51,North Carolina,Cumberland County,319431,331203,335509
53,North Carolina,Currituck County,23547,25106,27763
55,North Carolina,Dare County,33920,35468,37009
57,North Carolina,Davidson County,162878,163486,167609
59,North Carolina,Davie County,41240,41648,42846
61,North Carolina,Duplin County,58505,58883,58741
63,North Carolina,Durham County,267587,300793,321488
65,North Carolina,Edgecombe County,56552,53743,51472
67,North Carolina,Forsyth County,350670,367365,382295
69,North Carolina,Franklin County,60619,63668,69685
71,North Carolina,Gaston County,206086,212919,224529
73,North Carolina,Gates County,12197,11531,11562
75,North Carolina,Graham County,8861,8588,8441
77,North Carolina,Granville County,59916,58162,60443
79,North Carolina,Greene County,21362,20950,21069
81,North Carolina,Guilford County,488406,517053,537174
83,North Carolina,Halifax County,54691,52182,50010
85,North Carolina,Harnett County,114678,128034,135976
87,North Carolina,Haywood County,59036,59646,62317
89,North Carolina,Henderson County,106740,111847,117417
91,North Carolina,Hertford County,24669,24373,23677
93,North Carolina,Hoke County,46952,52739,55234
95,North Carolina,Hyde County,5810,5426,4937
97,North Carolina,Iredell County,159437,169453,181806
99,North Carolina,Jackson County,40271,41305,43938
101,North Carolina,Johnston County,168878,185104,209339
103,North Carolina,Jones County,10153,9777,9419
105,North Carolina,Lee County,57866,59371,61779
107,North Carolina,Lenoir County,59495,57981,55949
109,North Carolina,Lincoln County,78265,80607,86111
111,North Carolina,McDowell County,44996,44967,45756
113,North Carolina,Macon County,33922,34090,35858
115,North Carolina,Madison County,20764,21146,21755
117,North Carolina,Martin County,24505,23262,22440
119,North Carolina,Mecklenburg County,919628,1033238,1110356
121,North Carolina,Mitchell County,15579,15071,14964
123,North Carolina,Montgomery County,27798,27438,27173
125,North Carolina,Moore County,88247,94013,100880
127,North Carolina,Nash County,95840,93786,94298
129,North Carolina,New Hanover County,202667,219422,234473
131,North Carolina,Northampton County,22099,20533,19483
133,North Carolina,Onslow County,177772,193114,197938
135,North Carolina,Orange County,133801,141298,148476
137,North Carolina,Pamlico County,13144,12741,12726
139,North Carolina,Pasquotank County,40661,39384,39824
141,North Carolina,Pender County,52217,57426,63060
143,North Carolina,Perquimans County,13453,13463,13463
145,North Carolina,Person County,39464,39190,39490
147,North Carolina,Pitt County,168148,176071,180742
149,North Carolina,Polk County,20510,20414,20724
151,North Carolina,Randolph County,141752,142575,143667
153,North Carolina,Richmond County,46639,45429,44829
155,North Carolina,Robeson County,134168,134460,130625
157,North Carolina,Rockingham County,93643,91657,91010
159,North Carolina,Rowan County,138428,138497,142088
161,North Carolina,Rutherford County,67810,66375,67029
163,North Carolina,Sampson County,63431,63559,63531
165,North Carolina,Scotland County,36157,35321,34823
167,North Carolina,Stanly County,60585,60622,62806
169,North Carolina,Stokes County,47401,46159,45591
171,North Carolina,Surry County,73673,71998,71783
173,North Carolina,Swain County,13981,14326,14271
175,North Carolina,Transylvania County,33090,33157,34385
177,North Carolina,Tyrrell County,4407,4139,4016
179,North Carolina,Union County,201292,221949,239859
181,North Carolina,Vance County,45422,44459,44535
183,North Carolina,Wake County,900993,1022319,1111761
185,North Carolina,Warren County,20972,20207,19731
187,North Carolina,Washington County,13228,12247,11580
189,North Carolina,Watauga County,51079,53093,56177
191,North Carolina,Wayne County,122623,124342,123131
193,North Carolina,Wilkes County,69340,68298,68412
195,North Carolina,Wilson County,81234,81240,81801
197,North Carolina,Yadkin County,38406,37619,37667
199,North Carolina,Yancey County,17818,17550,18069
1,North Dakota,Adams County,2343,2397,2216
3,North Dakota,Barnes County,11066,11008,10415
5,North Dakota,Benson County,6660,6820,6832
7,North Dakota,Billings County,783,948,928
9,North Dakota,Bottineau County,6429,6734,6282
11,North Dakota,Bowman County,3151,3277,3024
13,North Dakota,Burke County,1968,2344,2115
15,North Dakota,Burleigh County,81308,93211,95626
17,North Dakota,Cass County,149778,170722,181923
19,North Dakota,Cavalier County,3993,3827,3762
21,North Dakota,Dickey County,5289,5054,4872
23,North Dakota,Divide County,2071,2459,2264
25,North Dakota,Dunn County,3536,4578,4424
27,North Dakota,Eddy County,2385,2305,2287
29,North Dakota,Emmons County,3550,3397,3241
31,North Dakota,Foster County,3343,3325,3210
33,North Dakota,Golden Valley County,1680,1879,1761
35,North Dakota,Grand Forks County,66861,70352,69451
37,North Dakota,Grant County,2394,2396,2274
39,North Dakota,Griggs County,2420,2288,2231
41,North Dakota,Hettinger County,2477,2657,2499
43,North Dakota,Kidder County,2435,2449,2480
45,North Dakota,LaMoure County,4139,4136,4046
47,North Dakota,Logan County,1990,1927,1850
49,North Dakota,McHenry County,5395,5975,5745
51,North Dakota,McIntosh County,2809,2717,2497
53,North Dakota,McKenzie County,6360,12794,15024
55,North Dakota,McLean County,8962,9664,9450
57,North Dakota,Mercer County,8424,8786,8187
59,North Dakota,Morton County,27471,30249,31364
61,North Dakota,Mountrail County,7673,10311,10545
63,North Dakota,Nelson County,3126,2914,2879
65,North Dakota,Oliver County,1846,1865,1959
67,North Dakota,Pembina County,7413,7031,6801
69,North Dakota,Pierce County,4357,4273,3975
71,North Dakota,Ramsey County,11451,11664,11519
73,North Dakota,Ransom County,5457,5451,5218
75,North Dakota,Renville County,2470,2551,2327
77,North Dakota,Richland County,16321,16286,16177
79,North Dakota,Rolette County,13937,14698,14176
81,North Dakota,Sargent County,3829,3866,3898
83,North Dakota,Sheridan County,1321,1311,1315
85,North Dakota,Sioux County,4153,4377,4230
87,North Dakota,Slope County,727,781,750
89,North Dakota,Stark County,24199,31861,31489
91,North Dakota,Steele County,1975,1915,1890
93,North Dakota,Stutsman County,21100,21047,20704
95,North Dakota,Towner County,2246,2251,2189
97,North Dakota,Traill County,8121,7987,8036
99,North Dakota,Walsh County,11119,10852,10641
101,North Dakota,Ward County,61675,70703,67641
103,North Dakota,Wells County,4207,4095,3834
105,North Dakota,Williams County,22398,35301,37589
1,Ohio,Adams County,28550,27926,27698
3,Ohio,Allen County,106331,104095,102351
5,Ohio,Ashland County,53139,53310,53484
7,Ohio,Ashtabula County,101497,98404,97241
9,Ohio,Athens County,64757,65886,65327
11,Ohio,Auglaize County,45949,45734,45656
13,Ohio,Belmont County,70400,68973,67006
15,Ohio,Brown County,44846,43697,43432
17,Ohio,Butler County,368130,375998,383134
19,Ohio,Carroll County,28836,27718,26914
21,Ohio,Champaign County,40097,38963,38885
23,Ohio,Clark County,138333,135746,134083
25,Ohio,Clermont County,197363,201995,206428
27,Ohio,Clinton County,42040,41839,41968
29,Ohio,Columbiana County,107841,104714,101883
31,Ohio,Coshocton County,36901,36577,36600
33,Ohio,Crawford County,43784,42324,41494
35,Ohio,Cuyahoga County,1280122,1258739,1235072
37,Ohio,Darke County,52959,51981,51113
39,Ohio,Defiance County,39037,38326,38087
41,Ohio,Delaware County,174214,193391,209177
43,Ohio,Erie County,77079,75360,74266
45,Ohio,Fairfield County,146156,151254,157574
47,Ohio,Fayette County,29030,28611,28525
49,Ohio,Franklin County,1163414,1257386,1316756
51,Ohio,Fulton County,42698,42301,42126
53,Ohio,Gallia County,30934,30249,29898
55,Ohio,Geauga County,93389,93894,93649
57,Ohio,Greene County,161573,164272,168937
59,Ohio,Guernsey County,40087,39392,38875
61,Ohio,Hamilton County,802374,809527,817473
63,Ohio,Hancock County,74782,75678,75783
65,Ohio,Hardin County,32058,31616,31365
67,Ohio,Harrison County,15864,15395,15040
69,Ohio,Henry County,28215,27481,27006
71,Ohio,Highland County,43589,42960,43161
73,Ohio,Hocking County,29380,28500,28264
75,Ohio,Holmes County,42366,43882,43960
77,Ohio,Huron County,59626,58307,58266
79,Ohio,Jackson County,33225,32559,32413
81,Ohio,Jefferson County,69709,67495,65325
83,Ohio,Knox County,60921,61001,62322
85,Ohio,Lake County,230041,229836,230149
87,Ohio,Lawrence County,62450,60923,59463
89,Ohio,Licking County,166492,170611,176862
91,Ohio,Logan County,45858,45250,45672
93,Ohio,Lorain County,301356,305417,309833
95,Ohio,Lucas County,441815,433633,428348
97,Ohio,Madison County,43435,44139,44731
99,Ohio,Mahoning County,238823,231846,228683
101,Ohio,Marion County,66501,65431,65093
103,Ohio,Medina County,172332,176126,179746
105,Ohio,Meigs County,23770,23180,22907
107,Ohio,Mercer County,40814,40723,41172
109,Ohio,Miami County,102506,104075,106987
111,Ohio,Monroe County,14642,14253,13654
113,Ohio,Montgomery County,535153,531777,531687
115,Ohio,Morgan County,15054,14735,14508
117,Ohio,Morrow County,34827,34943,35328
119,Ohio,Muskingum County,86074,86194,86215
121,Ohio,Noble County,14645,14467,14424
123,Ohio,Ottawa County,41428,40754,40525
125,Ohio,Paulding County,19614,18959,18672
127,Ohio,Perry County,36058,35967,36134
129,Ohio,Pickaway County,55698,56989,58457
131,Ohio,Pike County,28709,28117,27772
133,Ohio,Portage County,161419,162594,162466
135,Ohio,Preble County,42270,41297,40882
137,Ohio,Putnam County,34499,34026,33861
139,Ohio,Richland County,124475,121688,121154
141,Ohio,Ross County,78064,77049,76666
143,Ohio,Sandusky County,60944,59475,58518
145,Ohio,Scioto County,79499,76992,75314
147,Ohio,Seneca County,56745,55650,55178
149,Ohio,Shelby County,49423,49030,48590
151,Ohio,Stark County,375586,374715,370606
153,Ohio,Summit County,541781,541788,541013
155,Ohio,Trumbull County,210312,203328,197974
157,Ohio,Tuscarawas County,92582,92739,91987
159,Ohio,Union County,52300,54388,58988
161,Ohio,Van Wert County,28744,28319,28275
163,Ohio,Vinton County,13435,13082,13085
165,Ohio,Warren County,212693,223864,234602
167,Ohio,Washington County,61778,61020,59911
169,Ohio,Wayne County,114520,116214,115710
171,Ohio,Williams County,37642,37007,36692
173,Ohio,Wood County,125488,129285,130817
175,Ohio,Wyandot County,22615,22176,21772
1,Oklahoma,Adair County,22683,22259,22194
3,Oklahoma,Alfalfa County,5642,5917,5702
5,Oklahoma,Atoka County,14182,13889,13758
7,Oklahoma,Beaver County,5636,5455,5311
9,Oklahoma,Beckham County,22119,23554,21859
11,Oklahoma,Blaine County,11943,9762,9429
13,Oklahoma,Bryan County,42416,45021,47995
15,Oklahoma,Caddo County,29600,29433,28762
17,Oklahoma,Canadian County,115541,133158,148306
19,Oklahoma,Carter County,47557,48568,48111
21,Oklahoma,Cherokee County,46987,48376,48657
23,Oklahoma,Choctaw County,15205,14984,14672
25,Oklahoma,Cimarron County,2475,2225,2137
27,Oklahoma,Cleveland County,255755,273841,284014
29,Oklahoma,Coal County,5925,5608,5495
31,Oklahoma,Comanche County,124098,124005,120749
33,Oklahoma,Cotton County,6193,6006,5666
35,Oklahoma,Craig County,15029,14709,14142
37,Oklahoma,Creek County,69967,70801,71522
39,Oklahoma,Custer County,27469,29565,29003
41,Oklahoma,Delaware County,41487,41704,43009
43,Oklahoma,Dewey County,4810,4984,4891
45,Oklahoma,Ellis County,4151,4223,3859
47,Oklahoma,Garfield County,60580,63248,61056
49,Oklahoma,Garvin County,27576,27920,27711
51,Oklahoma,Grady County,52431,54559,55834
53,Oklahoma,Grant County,4527,4500,4333
55,Oklahoma,Greer County,6239,6031,5712
57,Oklahoma,Harmon County,2922,2782,2653
59,Oklahoma,Harper County,3685,3826,3688
61,Oklahoma,Haskell County,12769,12750,12627
63,Oklahoma,Hughes County,14003,13592,13279
65,Oklahoma,Jackson County,26446,25459,24530
67,Oklahoma,Jefferson County,6472,6266,6002
69,Oklahoma,Johnston County,10957,10967,11085
71,Oklahoma,Kay County,46562,45226,43538
73,Oklahoma,Kingfisher County,15034,15588,15765
75,Oklahoma,Kiowa County,9446,9116,8708
77,Oklahoma,Latimer County,11154,10624,10073
79,Oklahoma,Le Flore County,50384,50018,49853
81,Oklahoma,Lincoln County,34273,34928,34877
83,Oklahoma,Logan County,41848,45346,48011
85,Oklahoma,Love County,9423,9815,10253
87,Oklahoma,McClain County,34506,37973,40474
89,Oklahoma,McCurtain County,33151,33173,32832
91,Oklahoma,McIntosh County,20252,19817,19596
93,Oklahoma,Major County,7527,7771,7629
95,Oklahoma,Marshall County,15840,16266,16931
97,Oklahoma,Mayes County,41259,40889,41100
99,Oklahoma,Murray County,13488,13860,14073
101,Oklahoma,Muskogee County,70990,69319,67997
103,Oklahoma,Noble County,11561,11550,11131
105,Oklahoma,Nowata County,10536,10519,10076
107,Oklahoma,Okfuskee County,12191,12107,11993
109,Oklahoma,Oklahoma County,718633,777373,797434
111,Oklahoma,Okmulgee County,40069,39065,38465
113,Oklahoma,Osage County,47472,47338,46963
115,Oklahoma,Ottawa County,31848,31862,31127
117,Oklahoma,Pawnee County,16577,16439,16376
119,Oklahoma,Payne County,77350,81363,81784
121,Oklahoma,Pittsburg County,45837,44716,43654
123,Oklahoma,Pontotoc County,37492,38336,38284
125,Oklahoma,Pottawatomie County,69442,71479,72592
127,Oklahoma,Pushmataha County,11572,11162,11096
129,Oklahoma,Roger Mills County,3647,3773,3583
131,Oklahoma,Rogers County,86905,90080,92459
133,Oklahoma,Seminole County,25482,25399,24258
135,Oklahoma,Sequoyah County,42391,41782,41569
137,Oklahoma,Stephens County,45048,44576,43143
139,Oklahoma,Texas County,20640,21446,19983
141,Oklahoma,Tillman County,7992,7567,7250
143,Oklahoma,Tulsa County,603403,640470,651552
145,Oklahoma,Wagoner County,73085,76733,81289
147,Oklahoma,Washington County,50976,52091,51527
149,Oklahoma,Washita County,11629,11687,10916
151,Oklahoma,Woods County,8878,9303,8793
153,Oklahoma,Woodward County,20081,21608,20211
1,Oregon,Baker County,16134,15882,16124
3,Oregon,Benton County,85579,88333,93053
5,Oregon,Clackamas County,375992,399647,418187
7,Oregon,Clatsop County,37039,37797,40224
9,Oregon,Columbia County,49351,49646,52354
11,Oregon,Coos County,63043,62643,64487
13,Oregon,Crook County,20978,21455,24404
15,Oregon,Curry County,22364,22293,22925
17,Oregon,Deschutes County,157733,174246,197692
19,Oregon,Douglas County,107667,107164,110980
21,Oregon,Gilliam County,1871,1868,1912
23,Oregon,Grant County,7445,7207,7199
25,Oregon,Harney County,7422,7150,7393
27,Oregon,Hood River County,22346,22927,23382
29,Oregon,Jackson County,203206,211403,220944
31,Oregon,Jefferson County,21720,22541,24658
33,Oregon,Josephine County,82713,84528,87487
35,Oregon,Klamath County,66380,65670,68238
37,Oregon,Lake County,7895,7779,7869
39,Oregon,Lane County,351715,361946,382067
41,Oregon,Lincoln County,46034,46999,49962
43,Oregon,Linn County,116672,120236,129749
45,Oregon,Malheur County,31313,30211,30571
47,Oregon,Marion County,315335,329060,347818
49,Oregon,Morrow County,11173,11130,11603
51,Oregon,Multnomah County,735334,790008,812855
53,Oregon,Polk County,75403,78962,86085
55,Oregon,Sherman County,1765,1689,1780
57,Oregon,Tillamook County,25250,25561,27036
59,Oregon,Umatilla County,75889,76467,77950
61,Oregon,Union County,25748,25703,26835
63,Oregon,Wallowa County,7008,6813,7208
65,Oregon,Wasco County,25213,25457,26682
67,Oregon,Washington County,529710,572664,601592
69,Oregon,Wheeler County,1441,1326,1332
71,Oregon,Yamhill County,99193,101381,107100
1,Pennsylvania,Adams County,101407,101808,103009
3,Pennsylvania,Allegheny County,1223348,1228827,1216045
5,Pennsylvania,Armstrong County,68941,66860,64735
7,Pennsylvania,Beaver County,170539,168241,163929
9,Pennsylvania,Bedford County,49762,48748,47888
11,Pennsylvania,Berks County,411442,415138,421164
13,Pennsylvania,Blair County,127089,124596,121829
15,Pennsylvania,Bradford County,62622,61644,60323
17,Pennsylvania,Bucks County,625249,625276,628270
19,Pennsylvania,Butler County,183862,185936,187853
21,Pennsylvania,Cambria County,143679,136028,130192
23,Pennsylvania,Cameron County,5085,4776,4447
25,Pennsylvania,Carbon County,65249,63753,64182
27,Pennsylvania,Centre County,153990,160466,162385
29,Pennsylvania,Chester County,498886,515055,524989
31,Pennsylvania,Clarion County,39988,38876,38438
33,Pennsylvania,Clearfield County,81642,80718,79255
35,Pennsylvania,Clinton County,39238,39400,38632
37,Pennsylvania,Columbia County,67295,66681,64964
39,Pennsylvania,Crawford County,88765,86510,84629
41,Pennsylvania,Cumberland County,235406,245744,253370
43,Pennsylvania,Dauphin County,268100,273085,278299
45,Pennsylvania,Delaware County,558979,563225,566747
47,Pennsylvania,Elk County,31946,30897,29910
49,Pennsylvania,Erie County,280566,278174,269728
51,Pennsylvania,Fayette County,136606,133252,129274
53,Pennsylvania,Forest County,7716,7381,7247
55,Pennsylvania,Franklin County,149618,153048,155027
57,Pennsylvania,Fulton County,14845,14509,14530
59,Pennsylvania,Greene County,38686,37402,36233
61,Pennsylvania,Huntingdon County,45913,45499,45144
63,Pennsylvania,Indiana County,88880,86747,84073
